accuracy,loss,val_accuracy,val_loss,learning_rate
0.6939374804496765,0.7045766711235046,0.7670000195503235,0.5594833493232727,0.0010000000474974513
0.7439374923706055,0.6069947481155396,0.7767500281333923,0.5114930272102356,0.0010000000474974513
0.7646250128746033,0.5396654605865479,0.7135000228881836,0.5780033469200134,0.0010000000474974513
0.7663750052452087,0.523308277130127,0.8029999732971191,0.43698084354400635,0.0010000000474974513
0.7816874980926514,0.4797722399234772,0.7885000109672546,0.45003142952919006,0.0010000000474974513
0.7878124713897705,0.4685889780521393,0.7409999966621399,0.5272853970527649,0.0010000000474974513
0.7930625081062317,0.4505978524684906,0.8240000009536743,0.4031214714050293,0.0010000000474974513
0.800000011920929,0.4378880262374878,0.7992500066757202,0.4257771968841553,0.0010000000474974513
0.8059999942779541,0.41985470056533813,0.8117499947547913,0.4152842164039612,0.0010000000474974513
0.8113124966621399,0.40882328152656555,0.7459999918937683,0.4921891987323761,0.0010000000474974513
0.8195624947547913,0.3967902362346649,0.8274999856948853,0.3962710201740265,0.0005000000237487257
0.8224999904632568,0.38384315371513367,0.8320000171661377,0.40428704023361206,0.0005000000237487257
0.820437490940094,0.39310503005981445,0.8019999861717224,0.4165040850639343,0.0005000000237487257
0.8240625262260437,0.3796645700931549,0.8080000281333923,0.4699346423149109,0.0005000000237487257
0.8264374732971191,0.3773627281188965,0.8009999990463257,0.421590119600296,0.0005000000237487257
0.8279374837875366,0.3723541796207428,0.7757499814033508,0.4842250347137451,0.0005000000237487257
0.8303750157356262,0.36505022644996643,0.8337500095367432,0.3714617192745209,0.0002500000118743628
0.8342499732971191,0.35800737142562866,0.8299999833106995,0.3882925808429718,0.0002500000118743628
0.8355000019073486,0.3591085374355316,0.8087499737739563,0.40738773345947266,0.0002500000118743628
0.8348749876022339,0.3592548668384552,0.8220000267028809,0.37941062450408936,0.0002500000118743628
0.8386250138282776,0.3574734628200531,0.8022500276565552,0.4112933874130249,0.0002500000118743628
0.8351250290870667,0.353504478931427,0.8187500238418579,0.398464560508728,0.0002500000118743628
0.8361250162124634,0.35609471797943115,0.777999997138977,0.47700339555740356,0.0001250000059371814
0.8378750085830688,0.3520086407661438,0.8397499918937683,0.3733752369880676,0.0001250000059371814
0.8441874980926514,0.34865984320640564,0.8402500152587891,0.37283822894096375,0.0001250000059371814
0.8388749957084656,0.34801527857780457,0.8264999985694885,0.38419389724731445,0.0001250000059371814
0.8396250009536743,0.3495367169380188,0.8097500205039978,0.40752074122428894,0.0001250000059371814
