accuracy,loss,val_accuracy,val_loss,learning_rate
0.7451249957084656,0.5748394727706909,0.8090000152587891,0.4162849485874176,0.009999999776482582
0.7975624799728394,0.4411727488040924,0.8327500224113464,0.3898937404155731,0.009999999776482582
0.820437490940094,0.4022681713104248,0.8324999809265137,0.38823187351226807,0.009999999776482582
0.8318750262260437,0.37923452258110046,0.7994999885559082,0.4450543522834778,0.009999999776482582
0.8378124833106995,0.3655546009540558,0.8255000114440918,0.37841978669166565,0.009999999776482582
0.8421875238418579,0.3487502336502075,0.8142499923706055,0.40173444151878357,0.009999999776482582
0.859499990940094,0.32168659567832947,0.8424999713897705,0.3850337862968445,0.009999999776482582
0.8692499995231628,0.2997763752937317,0.8422499895095825,0.40026307106018066,0.009999999776482582
0.8930000066757202,0.2512533664703369,0.8317499756813049,0.38872411847114563,0.004999999888241291
0.9042500257492065,0.22567203640937805,0.8337500095367432,0.42668312788009644,0.004999999888241291
0.9122499823570251,0.2085157185792923,0.8240000009536743,0.46503373980522156,0.004999999888241291
0.9191250205039978,0.19717952609062195,0.8389999866485596,0.4319447875022888,0.004999999888241291
0.9278749823570251,0.1751846969127655,0.8252500295639038,0.48420146107673645,0.004999999888241291
0.9310625195503235,0.16873109340667725,0.828249990940094,0.4674939513206482,0.004999999888241291
0.942062497138977,0.1436125934123993,0.8367499709129333,0.4745217263698578,0.0024999999441206455
